GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
Gene_1	-5.64784	-5.48267	-5.23869	-5.8199	-5.0633	-5.42104
Gene_2	-11.5442	-11.5063	-11.3659	-11.5601	-11.3396	-11.3977
Gene_3	-10.7546	-10.8956	-10.8338	-10.7364	-10.4623	-10.7333
Gene_4	-11.862	-11.7723	-11.6067	-12.203	-12.3401	-11.6966
Gene_5	-11.4419	-11.3248	-11.5361	-11.6842	-11.1328	-11.3399
Gene_6	-14.5788	-14.8651	-14.662	-14.1757	-14.3549	-14.6306
Gene_7	-16.5103	-16.3976	-16.436	-16.3412	-16.1149	-16.3416
Gene_8	-11.6449	-11.6854	-11.6258	-11.722	-11.3459	-11.5958
Gene_10	-11.1388	-11.7295	-11.1964	-11.5582	-10.8942	-11.1747
Gene_11	-12.089	-11.8102	-11.6635	-12.0225	-11.7574	-11.9599
Gene_12	-15.6904	-15.6228	-15.3128	-15.5871	-15.3984	-15.4978
Gene_13	-12.6735	-12.9176	-12.6024	-12.4941	-12.5874	-12.9239
Gene_14	-15.6586	-15.6586	-15.6586	-15.6586	-15.6586	-15.6586
Gene_15	-16.3419	-16.3419	-16.3419	-16.3419	-16.3419	-16.3419
Gene_16	-10.8251	-10.4405	-10.0037	-10.522	-10.6503	-10.5334
Gene_17	-13.1214	-13.1502	-13.0601	-13.4865	-12.7313	-12.4242
Gene_18	-8.052	-7.44675	-7.26686	-7.55917	-7.25675	-7.58299
Gene_19	-5.66914	-5.39973	-5.71456	-5.93645	-5.47178	-5.50333
Gene_20	-11.4966	-11.3303	-11.2	-11.5841	-11.2372	-11.6163
Gene_21	-12.618	-12.4458	-12.5701	-12.3618	-12.1507	-12.4727
Gene_22	-8.84195	-8.857	-8.11544	-8.5406	-8.08108	-8.59886
Gene_23	-20.4611	-19.7293	-19.6279	-19.742	-19.5435	-17.5418
Gene_24	-16.8566	-16.2995	-19.3131	-17.5833	-16.7575	-19.1541
Gene_25	-14.1959	-13.9111	-13.3887	-13.6064	-13.4689	-13.9234
Gene_26	-12.3413	-12.2825	-12.2561	-12.5429	-12.2668	-12.1661
Gene_27	-12.8529	-13.2759	-13.1398	-12.7183	-12.8284	-12.955
Gene_28	-12.7162	-12.8479	-12.7937	-12.7566	-12.8211	-12.7456
Gene_29	-11.1194	-11.3027	-10.9494	-11.3443	-10.6489	-10.9211
Gene_30	-13.3725	-13.1808	-13.4156	-13.3786	-13.1795	-13.3003
Gene_31	-11.5344	-11.6086	-10.874	-11.3952	-11.2405	-11.7646
Gene_32	-12.4841	-12.9248	-12.0101	-12.663	-12.5889	-12.0947
Gene_33	-15.0864	-15.0863	-15.0863	-15.0864	-15.0863	-15.0863
Gene_34	-16.069	-16.069	-16.069	-16.069	-16.069	-16.069
Gene_35	-15.9043	-15.9043	-15.9042	-15.9043	-15.9043	-15.9043
Gene_36	-12.2299	-11.827	-12.0716	-12.1674	-11.5572	-11.7047
Gene_37	-14.274	-13.9952	-14.1398	-14.1141	-14.1732	-14.0001
Gene_38	-7.56751	-7.63756	-7.87727	-7.4937	-7.78072	-7.98552
Gene_39	-12.8602	-12.685	-12.6903	-12.9062	-12.4573	-12.6529
Gene_40	-7.74183	-7.71325	-7.35617	-7.5099	-7.36621	-7.64164
Gene_41	-16.7771	-16.7771	-16.7771	-16.7771	-16.7771	-16.7771
Gene_42	-12.7492	-12.7846	-12.6286	-13.3356	-12.7688	-12.7819
Gene_43	-16.568	-16.558	-16.5491	-16.5619	-16.5596	-16.5513
Gene_44	-13.6771	-13.738	-13.6189	-13.6364	-13.6562	-13.6487
Gene_45	-10.4109	-10.1426	-9.93916	-10.2263	-10.4361	-10.4144
Gene_46	-14.0066	-14.0065	-14.0065	-14.0066	-14.0064	-14.0066
Gene_47	-13.2975	-13.4977	-13.8294	-13.7177	-13.2926	-13.4558
Gene_48	-11.4554	-11.4113	-11.4092	-11.1777	-11.6046	-11.7773
Gene_49	-7.24302	-6.96765	-7.16307	-6.453	-6.56929	-7.04585
Gene_50	-15.2698	-15.2698	-15.2698	-15.2698	-15.2698	-15.2698
Gene_51	-16.0301	-15.96	-15.9857	-15.6344	-15.6619	-15.6927
Gene_52	-14.5536	-14.9179	-14.7467	-14.278	-14.3686	-14.6476
Gene_53	-13.6166	-12.8294	-12.8876	-13.2306	-12.6277	-13.2896
Gene_54	-15.3336	-14.8671	-14.9135	-15.0137	-14.9822	-14.7159
Gene_55	-12.3604	-12.1373	-11.5827	-12.2276	-12.0229	-11.7698
Gene_56	-11.0677	-10.4592	-10.4868	-10.5248	-10.4144	-10.343
Gene_57	-16.2337	-16.0228	-16.1689	-16.0258	-16.0247	-16.229
Gene_58	-7.96347	-7.85966	-7.57154	-7.78612	-7.87756	-7.9527
Gene_59	-16.7771	-16.7771	-16.7771	-16.7771	-16.7771	-16.7771
Gene_60	-11.5604	-11.9691	-11.4222	-11.2915	-11.4992	-12.0693
Gene_61	-12.4837	-12.3236	-12.3298	-12.2578	-11.9121	-12.4188
Gene_62	-7.0121	-7.20623	-6.8408	-7.37357	-7.19043	-7.24673
Gene_63	-14.7889	-14.7889	-14.7889	-14.7889	-14.7889	-14.7889
Gene_64	-12.8258	-12.7211	-12.6945	-12.7643	-12.5365	-12.9324
Gene_65	-11.5004	-11.3574	-11.6994	-11.544	-11.0993	-11.4018
Gene_66	-10.665	-10.3778	-10.1473	-10.4453	-10.0609	-10.2934
Gene_67	-13.8343	-13.798	-13.7795	-13.6146	-13.6858	-13.821
Gene_68	-8.10358	-7.5465	-7.24173	-7.82194	-7.66538	-7.51402
Gene_69	-16.314	-15.2827	-16.6708	-16.3755	-16.2483	-15.7521
Gene_70	-15.8607	-15.085	-15.5828	-15.5187	-15.5395	-15.7197
Gene_71	-13.1045	-12.9937	-13.0231	-13.1308	-13.1792	-13.0575
Gene_72	-15.8032	-15.5867	-15.6759	-15.6446	-15.545	-15.6746
Gene_73	-18.3749	-19.4701	-19.3683	-17.6209	-17.4124	-16.3352
Gene_74	-9.15374	-9.39036	-8.67915	-9.19284	-8.72814	-9.0598
Gene_75	-10.7732	-10.6037	-10.688	-10.7826	-10.4594	-10.7968
Gene_76	-20.4611	-19.7294	-17.7081	-19.7421	-19.5436	-19.4696
Gene_77	-10.7556	-10.2448	-10.4265	-10.5383	-10.0147	-10.3533
Gene_78	-10.1429	-10.1388	-10.0592	-9.60191	-9.9192	-9.72482
Gene_79	-16.6101	-16.6101	-16.6101	-16.6101	-16.6101	-16.6101
Gene_80	-10.0063	-9.61084	-9.76784	-9.61158	-9.90844	-9.55104
Gene_81	-17.6826	-17.6359	-17.2329	-17.4484	-17.3983	-17.0064
Gene_82	-15.0747	-14.8442	-15.1275	-14.8781	-15.1955	-14.871
Gene_83	-14.4833	-14.3284	-13.7224	-14.0233	-13.1458	-13.9401
Gene_84	-12.074	-12.0224	-12.0177	-12.0583	-11.4634	-11.928
Gene_85	-12.6148	-12.2956	-12.0486	-12.7764	-12.3002	-12.2753
Gene_86	-12.6466	-12.8159	-12.5275	-12.7655	-12.5372	-12.9628
Gene_87	-16.13	-15.5892	-15.7632	-15.8628	-15.8505	-15.8883
Gene_88	-9.20261	-8.94366	-9.01777	-9.10009	-8.40567	-8.95441
Gene_89	-12.0029	-11.6763	-11.7278	-11.5662	-11.1914	-11.3825
Gene_90	-15.032	-15.032	-15.032	-15.032	-15.032	-15.032
Gene_91	-15.1787	-15.0168	-14.9844	-15.1513	-15.0488	-15.2181
Gene_92	-9.68053	-8.97203	-9.09197	-9.60518	-8.89304	-8.97549
Gene_93	-11.5888	-11.2496	-11.2318	-11.6479	-11.2124	-11.5205
Gene_94	-15.9299	-15.9299	-15.9299	-15.9299	-15.9299	-15.9299
Gene_95	-14.5694	-14.8224	-14.2269	-14.5067	-14.9439	-14.4336
Gene_96	-10.3706	-10.5573	-10.0819	-10.2614	-9.83646	-10.8007
Gene_98	-16.0396	-16.0396	-16.0396	-16.0396	-16.0396	-16.0396
Gene_99	-11.2159	-11.1827	-10.7215	-11.5463	-10.9774	-11.3797
Gene_100	-17.1379	-17.1379	-17.1379	-17.1379	-17.1379	-17.1379
Gene_101	-8.51311	-8.62866	-8.54204	-9.13545	-8.74375	-8.80824
Gene_102	-17.7078	-17.7078	-17.7078	-17.7078	-17.7078	-17.7078
Gene_103	-20.2651	-19.5322	-16.9154	-19.5449	-16.8264	-19.272
Gene_104	-17.2288	-17.2288	-17.2288	-17.2288	-17.2288	-17.2288
Gene_105	-13.1777	-13.5095	-13.2219	-13.2394	-13.0115	-13.2216
Gene_106	-14.858	-14.3502	-14.6719	-14.8723	-14.7556	-14.447
Gene_107	-15.9922	-15.8272	-15.8437	-15.6492	-15.8693	-16.0587
Gene_108	-13.3646	-13.0981	-12.9959	-13.5305	-12.8657	-13.125
Gene_109	-15.7411	-15.7411	-15.7411	-15.7411	-15.7411	-15.7411
Gene_110	-13.2587	-13.1863	-12.4277	-12.3332	-12.5055	-12.6583
Gene_111	-11.9531	-11.4866	-11.2781	-11.3661	-11.4196	-11.1547
Gene_112	-12.497	-12.7143	-11.956	-12.2885	-12.372	-12.1828
Gene_113	-16.9062	-16.9062	-16.9062	-16.9062	-16.9062	-16.9062
Gene_114	-10.8287	-10.6777	-10.7159	-10.7826	-10.4879	-10.5876
Gene_115	-13.0784	-13.0083	-12.6534	-13.0891	-12.7518	-12.9278
Gene_116	-11.4448	-10.8119	-10.8275	-11.2188	-10.9376	-11.1696
Gene_117	-10.9817	-10.4126	-10.382	-10.6303	-10.4622	-10.8516
Gene_118	-14.7764	-14.3066	-14.5133	-14.6108	-13.7421	-14.7823
Gene_119	-11.0159	-11.1804	-11.1536	-11.0339	-10.7138	-11.2075
Gene_120	-16.1189	-15.4181	-15.5524	-15.686	-15.3039	-15.6946
Gene_121	-11.8719	-11.5119	-11.4147	-11.7777	-11.2928	-11.4356
Gene_122	-18.4084	-17.0214	-17.5345	-19.5336	-19.3346	-19.2605
Gene_123	-11.4678	-11.2761	-11.2092	-11.2171	-11.3468	-11.3507
Gene_124	-13.5482	-13.2967	-13.0948	-13.2245	-13.1276	-13.4006
Gene_125	-18.4846	-19.6168	-17.6107	-19.6295	-19.4308	-19.3568
Gene_126	-12.5903	-12.2582	-12.0131	-12.3053	-12.8504	-12.6144
Gene_127	-15.333	-15.1108	-15.3673	-15.1678	-15.0917	-14.5772
Gene_128	-6.57044	-7.33453	-6.71479	-7.06245	-7.06643	-7.32371
Gene_129	-12.8608	-13.4676	-12.901	-12.9535	-12.5982	-13.0295
Gene_130	-6.89139	-6.61071	-6.32389	-6.46927	-6.45346	-7.02805
Gene_131	-11.8224	-11.3186	-10.8209	-11.31	-11.0322	-11.2605
Gene_132	-16.0531	-15.5722	-15.9987	-16.4434	-16.0549	-16.1248
Gene_133	-12.1637	-12.6917	-12.3093	-12.2763	-12.57	-12.4345
Gene_134	-12.8671	-12.8671	-12.8669	-12.8669	-12.867	-12.8671
Gene_135	-11.4097	-11.0921	-10.266	-10.9815	-10.5715	-10.8838
Gene_136	-17.6157	-17.5578	-17.5961	-17.4721	-17.5484	-17.545
Gene_137	-14.4982	-14.0035	-13.9352	-14.148	-13.5024	-14.248
Gene_138	-15.1774	-15.1359	-15.4076	-15.3494	-15.2203	-15.4295
Gene_139	-12.908	-12.8106	-12.7184	-12.8826	-12.7957	-12.813
Gene_140	-12.9432	-13.0801	-12.7577	-12.8324	-12.6236	-12.6047
Gene_141	-12.7092	-12.448	-12.4527	-11.8454	-12.2778	-12.486
Gene_142	-12.0491	-11.4515	-11.0581	-11.3903	-11.3323	-11.3334
Gene_143	-14.093	-14.1804	-13.8174	-14.1716	-13.9931	-14.1616
Gene_144	-11.2603	-11.117	-11.1678	-11.1124	-10.5706	-10.976
Gene_145	-14.7536	-14.8774	-14.4129	-14.7324	-14.3849	-14.7025
Gene_146	-15.4205	-14.9181	-14.6653	-14.6059	-14.3691	-14.7196
Gene_147	-12.2833	-12.66	-12.5108	-12.4579	-11.9798	-12.3029
Gene_148	-13.0652	-12.9158	-12.4757	-12.4418	-12.7183	-12.8031
Gene_149	-16.2306	-16.2306	-16.2306	-16.2306	-16.2306	-16.2306
Gene_150	-7.08006	-6.90597	-6.21036	-6.89646	-6.40864	-7.10012
Gene_151	-16.4235	-16.4238	-16.4238	-16.4233	-16.4235	-16.4232
Gene_152	-20.2148	-19.4811	-16.5031	-17.6226	-19.2947	-16.7165
Gene_153	-10.1183	-10.4635	-9.75478	-10.03	-10.2819	-9.86491
Gene_154	-11.9026	-12.004	-11.8287	-11.9286	-11.9742	-11.5764
Gene_155	-12.4769	-12.3395	-11.9388	-12.4176	-11.7832	-12.3312
Gene_156	-15.5115	-15.5116	-15.5115	-15.5116	-15.5116	-15.5116
Gene_157	-20.2652	-17.0224	-16.9154	-19.545	-19.3462	-19.2721
Gene_158	-14.2808	-14.2391	-14.1082	-14.2531	-14.1712	-14.2757
Gene_159	-13.9561	-13.3157	-13.6657	-13.4075	-13.2259	-13.4487
Gene_160	-13.652	-13.8639	-13.0574	-13.4344	-12.8943	-13.7471
Gene_161	-13.3433	-13.1591	-13.2108	-13.1909	-13.2123	-13.1692
Gene_162	-9.67343	-9.6839	-9.78914	-10.0931	-9.89736	-10.1242
Gene_163	-16.2739	-17.5604	-15.9676	-19.4166	-19.2172	-17.2875
Gene_164	-20.4611	-19.7294	-19.6279	-19.742	-17.6195	-19.4696
Gene_165	-14.8655	-14.7952	-13.8767	-14.6487	-14.2742	-14.4249
Gene_166	-18.582	-19.7298	-19.6283	-19.7425	-19.544	-19.47
Gene_168	-9.61709	-8.50137	-9.02277	-9.07993	-8.82473	-9.06052
Gene_169	-13.2311	-12.7876	-12.9549	-13.3707	-13.0525	-12.8285
Gene_170	-15.5437	-15.3876	-14.8801	-15.2972	-15.4551	-15.2548
Gene_171	-14.7337	-14.8791	-14.3278	-14.8887	-14.1963	-14.9865
Gene_172	-8.47467	-8.42412	-7.75985	-8.46081	-7.83167	-8.10766
Gene_173	-10.3908	-10.3174	-10.0163	-10.4018	-9.86723	-10.0715
Gene_174	-10.7201	-10.9305	-10.8588	-10.9038	-10.6657	-10.719
Gene_175	-12.3226	-12.3224	-12.3224	-12.3226	-12.3226	-12.3225
Gene_176	-17.1819	-16.7701	-16.3632	-16.9744	-16.0104	-16.4476
Gene_177	-13.9361	-13.5982	-13.6096	-13.8396	-13.6825	-13.8888
Gene_178	-17.0551	-16.5571	-19.2654	-16.5705	-15.2978	-17.2767
Gene_179	-7.51299	-7.73978	-7.26394	-7.4645	-7.3686	-7.67677
Gene_180	-16.8396	-16.8396	-16.8396	-16.8396	-16.8396	-16.8396
Gene_181	-18.3566	-19.4425	-16.8649	-19.4552	-16.776	-16.318
Gene_182	-20.2197	-17.6206	-17.514	-17.6339	-16.8063	-19.2252
Gene_183	-11.1399	-10.9028	-10.8858	-11.5893	-11.2071	-11.153
Gene_184	-20.4612	-19.7294	-19.628	-17.828	-19.5436	-19.4697
Gene_185	-11.9095	-11.6802	-11.4238	-11.6094	-11.2402	-11.5937
Gene_186	-12.6425	-12.7335	-12.4405	-12.7089	-12.5776	-12.6984
Gene_187	-14.1972	-13.9393	-14.0911	-14.2185	-13.7947	-13.8811
Gene_188	-6.34455	-6.03585	-5.70776	-6.14969	-5.95564	-6.0012
Gene_189	-15.128	-15.1649	-15.0945	-15.1283	-15.0553	-15.1352
Gene_190	-12.1209	-12.0105	-11.8126	-11.7955	-11.7972	-11.89
Gene_191	-17.0915	-16.9288	-16.3889	-16.8008	-16.6029	-16.578
Gene_192	-15.8787	-15.859	-15.7491	-15.8112	-15.8067	-15.8167
Gene_193	-11.394	-11.2337	-10.6931	-10.9946	-10.8506	-11.532
Gene_194	-16.0435	-16.1028	-15.8056	-15.6196	-16.1113	-15.8784
Gene_195	-13.7646	-13.4259	-13.423	-13.7434	-12.8416	-13.659
Gene_196	-11.6326	-11.4504	-11.5036	-11.3056	-11.3249	-11.082
Gene_197	-13.1911	-13.2444	-13.2025	-13.2447	-13.2085	-13.2599
Gene_198	-14.8223	-14.4614	-14.7876	-14.8917	-14.697	-14.7453
Gene_199	-13.6264	-13.2613	-13.1322	-13.3337	-13.0878	-13.0332
Gene_200	-18.4847	-19.6169	-19.5153	-17.7306	-19.4309	-19.3569
Gene_201	-14.5564	-14.2374	-13.8536	-14.3638	-14.0992	-14.1692
Gene_202	-10.7145	-10.0031	-10.0519	-10.1234	-9.89863	-10.1748
Gene_203	-8.46361	-8.49571	-7.95384	-8.33323	-7.81227	-8.21382
Gene_204	-11.4413	-11.5727	-11.2713	-11.3461	-10.7416	-11.503
Gene_205	-13.0517	-12.5855	-12.4436	-13.3125	-12.7569	-12.8921
Gene_206	-13.3313	-12.9394	-12.9416	-13.2842	-12.8761	-13.1087
Gene_207	-15.8344	-15.8647	-15.4171	-15.6921	-15.3759	-15.7646
Gene_208	-10.5519	-10.6831	-10.2953	-10.7353	-10.5041	-10.8714
Gene_209	-10.9964	-10.7791	-10.9295	-10.9589	-11.2402	-10.7416
Gene_210	-15.4888	-14.8075	-14.4691	-15.5322	-15.1625	-15.3371
Gene_211	-18.4084	-19.5208	-17.5345	-19.5335	-16.8255	-19.2604
Gene_212	-12.3828	-12.2579	-12.0643	-12.312	-12.1368	-12.1453
Gene_213	-9.97296	-10.0222	-9.59273	-9.96133	-9.41159	-9.64738
Gene_214	-14.8338	-14.7305	-14.8201	-14.909	-14.7764	-14.7878
Gene_215	-12.8877	-13.11	-12.7554	-12.6648	-12.5514	-12.5481
Gene_216	-12.3344	-12.4601	-12.2442	-12.3335	-12.3628	-12.289
Gene_217	-10.8734	-10.182	-10.268	-10.1174	-10.2726	-10.1877
Gene_218	-12.0065	-11.8769	-11.7361	-11.9125	-11.8848	-12.1354
Gene_219	-16.6596	-16.9307	-16.4455	-19.367	-15.1901	-16.2783
Gene_220	-11.0437	-10.6692	-10.3653	-11.2108	-10.3269	-10.9608
Gene_221	-14.4183	-14.4928	-14.3069	-14.3132	-14.1321	-14.3239
Gene_222	-13.5092	-13.8133	-13.603	-13.3993	-13.4776	-13.613
Gene_223	-11.0325	-10.6682	-10.7055	-10.9359	-10.8172	-10.9291
Gene_224	-18.4847	-17.7173	-19.5153	-19.6296	-19.4309	-19.3569
Gene_225	-11.1783	-10.7665	-10.5035	-10.9056	-10.8963	-10.9482
Gene_226	-16.6799	-19.4188	-16.1924	-17.5839	-17.3754	-19.1579
Gene_227	-16.099	-15.4306	-14.7766	-15.0391	-15.5531	-14.8639
Gene_228	-10.071	-9.64788	-9.23691	-10.1325	-9.7273	-10.0363
Gene_229	-10.3716	-9.73405	-9.8043	-9.99889	-9.78123	-10.0103
Gene_230	-15.8265	-16.004	-15.9604	-16.0866	-15.4243	-15.738
Gene_231	-16.8396	-16.8396	-16.8396	-16.8396	-16.8396	-16.8396
Gene_232	-20.2976	-17.6706	-19.4633	-19.5776	-16.8538	-19.3048
Gene_233	-15.7832	-15.7837	-15.7799	-15.7787	-15.8156	-15.7747
