GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20
Gene_1	-7.6189	-7.16589	-7.2377	-7.43453	-7.03759	-8.24355	-7.67147	-7.79955	-7.38501	-7.69071	-7.7592	-7.16489	-7.55528	-7.40353	-7.53395	-7.24265	-7.58261	-7.48399	-7.54831	-7.79095
Gene_2	-9.28171	-9.84312	-9.78913	-9.6311	-9.96379	-10.0703	-9.37532	-9.94473	-9.77292	-9.72915	-9.47211	-9.81453	-9.631	-9.56096	-9.78798	-9.72511	-9.4487	-9.63467	-9.86822	-9.63458
Gene_3	-9.12752	-9.17754	-9.28491	-9.4175	-9.087	-9.11926	-9.1855	-9.13939	-9.25436	-8.7245	-9.19995	-9.22513	-9.30514	-9.24832	-9.46666	-9.15458	-9.49398	-9.23685	-9.2956	-9.66574
Gene_4	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1913	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912	-15.1912
Gene_5	-8.50191	-8.51478	-8.38641	-8.6674	-8.84603	-8.91137	-8.88705	-8.69105	-8.1692	-8.22503	-8.7635	-8.06152	-8.12601	-8.40587	-8.28138	-8.74007	-8.77582	-8.90875	-8.58289	-8.7938
Gene_6	-11.4162	-11.1875	-11.7778	-11.2982	-11.4308	-11.4103	-11.6791	-11.3646	-11.3788	-11.0372	-11.8171	-11.1978	-11.4507	-11.7734	-11.6575	-11.5091	-11.7537	-11.5685	-11.2438	-11.6857
Gene_7	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9108	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9107	-13.9106
Gene_8	-15.1013	-15.2916	-14.8774	-15.1607	-15.1822	-15.4683	-14.8039	-15.3465	-15.1077	-14.9591	-15.5329	-15.3799	-15.3815	-15.3192	-15.2983	-15.0314	-14.8996	-15.1652	-15.2811	-15.0237
Gene_9	-13.1302	-12.6392	-12.884	-13.0044	-12.7571	-12.7325	-12.9126	-13.008	-12.8237	-12.7417	-12.955	-12.8249	-12.8745	-12.8497	-13.0917	-12.9613	-12.9506	-12.7511	-12.9957	-12.829
Gene_10	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658
Gene_11	-9.83454	-9.524	-9.56269	-9.41848	-8.98853	-9.66438	-10.0902	-9.40874	-9.73944	-9.35302	-9.32954	-9.33194	-9.5039	-9.45031	-9.64706	-9.52147	-9.64791	-9.29032	-10.0845	-9.81186
Gene_12	-12.8802	-12.1893	-12.5855	-12.5635	-12.4669	-12.9523	-12.9601	-12.8864	-12.3305	-12.3009	-12.4592	-12.7096	-12.5077	-12.5136	-12.5899	-12.5814	-12.5422	-12.6382	-12.561	-12.5189
Gene_13	-13.7932	-13.9664	-13.9365	-13.9623	-14.0998	-13.5381	-14.0447	-14.148	-13.9753	-13.8252	-14.1569	-13.9646	-13.6282	-13.7928	-14.0214	-13.8914	-14.0366	-13.9118	-14.0725	-13.8785
Gene_14	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693	-15.693
Gene_15	-14.5185	-13.9834	-14.4755	-14.0806	-14.2658	-14.4162	-14.0838	-14.3908	-14.2894	-14.1472	-14.6056	-14.4399	-14.4984	-14.1228	-14.1988	-14.0698	-14.2544	-14.682	-14.2222	-14.3449
Gene_16	-9.8728	-9.33543	-9.47366	-9.23552	-9.56058	-10.0647	-9.81943	-9.69745	-9.25175	-9.35304	-9.73978	-9.61904	-9.36694	-9.30337	-9.25491	-9.77039	-9.60094	-9.20995	-9.3074	-9.45943
Gene_17	-18.4275	-18.3842	-18.4009	-18.339	-18.4039	-18.384	-18.36	-18.3362	-17.1806	-18.3083	-17.8367	-18.3487	-18.3493	-18.3262	-18.3539	-18.4043	-18.3181	-18.37	-18.3477	-18.3778
Gene_18	-12.387	-11.7209	-11.8846	-12.3961	-11.7946	-11.8912	-12.1175	-11.9524	-12.272	-12.3398	-11.7063	-12.292	-12.2273	-12.1276	-11.8965	-12.397	-12.4679	-12.0388	-11.9787	-12.4202
Gene_19	-14.1994	-13.9948	-13.8338	-13.4472	-14.0074	-13.7423	-13.9582	-13.4254	-13.8557	-14.0611	-13.8167	-13.1256	-14.0022	-14.1074	-13.922	-13.7097	-13.9207	-14.2268	-13.5117	-14.0075
Gene_20	-12.5314	-12.6504	-12.2567	-12.5497	-12.3391	-12.1208	-12.4719	-12.1876	-12.2706	-12.4281	-12.3137	-12.1466	-12.4433	-12.4956	-12.5082	-12.401	-12.4538	-12.3552	-12.3604	-12.5266
Gene_21	-8.43304	-8.20349	-8.30584	-8.27742	-8.14132	-8.22361	-7.95209	-8.2062	-7.91906	-7.97584	-8.50715	-7.83613	-8.48584	-7.75238	-8.73612	-8.37436	-7.95467	-8.44122	-7.70339	-8.20745
Gene_22	-10.5292	-10.5359	-10.7258	-10.6689	-10.271	-10.9743	-11.0616	-10.9289	-10.7729	-10.5556	-10.8491	-10.271	-10.7821	-10.4863	-10.926	-10.6335	-11.1484	-10.8296	-10.796	-11.1117
Gene_23	-14.7303	-14.7062	-14.6734	-14.6479	-14.5815	-14.6411	-14.684	-14.6453	-14.7096	-14.6196	-14.6838	-14.5902	-14.6742	-14.7389	-14.6617	-14.7246	-14.6802	-14.6767	-14.6393	-14.7003
Gene_24	-14.5651	-14.5093	-14.5395	-14.5691	-14.5146	-14.5233	-14.5585	-14.4479	-14.5359	-14.5269	-14.4809	-14.4748	-14.5487	-14.4979	-14.4944	-14.4182	-14.581	-14.5243	-14.5325	-14.5173
Gene_25	-9.53022	-9.96046	-9.89213	-9.65401	-9.69851	-9.76634	-10.1189	-9.95352	-9.79025	-9.91794	-9.92625	-9.91797	-9.83239	-9.94187	-9.46097	-10.1302	-9.64681	-9.55148	-9.42672	-10.2148
Gene_26	-12.5345	-12.0095	-12.205	-11.5114	-11.9061	-11.8923	-11.7502	-12.1893	-11.7883	-12.0481	-12.2288	-11.5137	-11.9966	-12.4444	-12.1314	-11.8742	-11.8224	-12.2147	-11.8938	-11.7122
Gene_27	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658	-19.0658
Gene_28	-10.9989	-10.9986	-11.4675	-11.8429	-11.4085	-11.2199	-11.6591	-11.0035	-11.116	-11.4848	-11.0307	-11.297	-11.4567	-10.9066	-11.1247	-11.4366	-11.0837	-11.4042	-11.2522	-11.3228
Gene_29	-10.5697	-10.005	-10.3469	-9.98598	-10.3092	-10.4763	-9.89856	-10.4259	-10.1037	-10.3937	-10.5092	-9.91691	-10.4213	-10.1494	-10.5247	-10.5649	-9.98243	-9.79109	-9.9872	-9.92399
Gene_30	-12.3265	-12.1642	-12.2661	-12.394	-12.2345	-12.2872	-12.4122	-12.3157	-12.3465	-12.3884	-12.3709	-12.2245	-12.4605	-12.2918	-12.4363	-12.3539	-12.439	-12.328	-12.49	-12.4647
Gene_31	-13.1516	-13.3222	-13.1747	-13.4159	-13.2497	-13.3393	-13.2391	-13.3595	-13.2789	-13.228	-13.5303	-13.1302	-13.5463	-13.3151	-13.4333	-13.2668	-13.4939	-13.4756	-13.3869	-13.2604
Gene_32	-11.2982	-11.4564	-10.9382	-12.0005	-11.7539	-11.6434	-11.868	-11.5186	-11.0014	-11.6884	-11.2704	-11.4943	-11.3564	-11.2195	-11.7334	-11.4636	-11.3803	-11.592	-11.3472	-11.7946
Gene_33	-9.81543	-9.20297	-9.116	-9.78324	-9.74452	-9.70396	-9.55625	-9.66473	-9.05376	-9.47816	-9.59232	-9.17352	-9.20029	-9.55276	-9.50656	-9.70583	-9.20028	-9.50203	-9.56716	-9.6962
Gene_34	-2.28021	-2.77551	-2.04144	-2.04504	-1.97265	-2.11546	-2.2459	-2.00763	-2.42729	-2.22582	-2.19335	-2.12157	-1.58972	-2.20378	-2.04201	-2.14969	-1.91933	-2.28239	-2.04544	-2.14837
Gene_35	-14.3106	-14.1655	-14.0503	-14.2016	-14.0951	-14.3193	-13.9215	-13.9321	-14.0387	-14.2244	-14.1901	-13.9875	-14.2843	-14.2453	-14.3446	-14.3841	-13.8017	-14.2719	-14.2785	-14.3391
Gene_36	-12.6727	-12.8107	-12.9274	-13.0571	-13.3066	-13.3654	-13.0279	-12.8793	-13.2822	-13.5293	-12.9714	-13.0991	-12.9779	-13.0759	-13.5132	-13.1247	-13.0097	-13.1623	-12.8282	-13.2085
Gene_37	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658	-18.5658
Gene_38	-7.96163	-7.96762	-8.20557	-7.96265	-7.75916	-7.79189	-8.54738	-8.30453	-8.02525	-7.64327	-8.12435	-7.70869	-7.98623	-8.22027	-8.28406	-8.43268	-7.83093	-8.28352	-8.20406	-8.19707
Gene_39	-11.23	-11.1713	-11.1761	-11.0774	-11.0947	-11.288	-11.1894	-11.2969	-11.2361	-11.3312	-11.5353	-11.3097	-11.1538	-11.3366	-11.1471	-11.333	-10.9847	-11.2136	-11.2587	-11.2136
Gene_40	-14.5105	-14.594	-14.2426	-14.4109	-14.1127	-14.5935	-14.4781	-14.4992	-14.3593	-14.5145	-14.1737	-14.3961	-14.263	-14.1752	-14.413	-14.6485	-14.4927	-14.335	-14.3928	-14.5315
Gene_41	-8.68682	-8.75058	-9.00029	-8.9651	-9.1495	-9.05785	-9.08091	-9.08462	-9.10194	-9.06773	-9.09614	-8.87795	-9.41101	-9.14317	-9.0385	-8.73853	-9.19959	-9.27948	-8.69397	-8.8257
Gene_42	-17.5545	-17.4719	-17.0201	-16.8387	-17.5102	-16.9739	-16.9042	-17.3731	-17.4052	-16.2218	-17.0487	-17.3996	-16.0283	-17.3515	-17.4104	-17.5108	-17.3335	-17.4436	-17.3975	-17.4591
Gene_43	-9.77229	-9.92114	-9.84641	-10.07	-9.6756	-9.87517	-10.1344	-9.93292	-10.0184	-10.1238	-10.2948	-9.93092	-9.88544	-10.0308	-9.84914	-10.2133	-10.042	-10.2365	-9.80681	-10.4258
Gene_44	-13.5313	-14.0543	-14.269	-14.3826	-13.6033	-14.0991	-13.9287	-14.3692	-13.8794	-13.9446	-13.9786	-14.1255	-13.8674	-14.1214	-14.2665	-14.1475	-14.2073	-13.5753	-14.1774	-13.7694
Gene_45	-7.87402	-7.85454	-8.21086	-8.08173	-7.98633	-8.1012	-8.03877	-8.13996	-7.41812	-7.52233	-7.8597	-7.36911	-7.65223	-7.73219	-8.03863	-7.75574	-7.65091	-7.41491	-7.912	-7.9516
Gene_46	-10.4229	-10.5312	-10.422	-10.4682	-9.80194	-10.2947	-10.5891	-10.1011	-9.87663	-10.0275	-9.99236	-10.2627	-10.4991	-10.1	-10.4195	-9.95145	-10.1777	-10.4618	-10.1102	-10.0994
Gene_47	-9.58558	-9.54457	-9.55143	-9.48052	-9.13764	-9.25164	-9.69077	-9.42685	-9.04483	-9.83475	-9.60465	-9.2095	-9.19762	-9.54211	-9.1314	-9.50362	-8.98212	-9.66671	-9.40801	-9.39266
Gene_48	-12.8088	-12.8157	-12.8326	-12.8532	-12.8077	-12.7894	-12.8433	-12.7947	-12.8468	-12.836	-12.8235	-12.7858	-12.7968	-12.8177	-12.8565	-12.8624	-12.8294	-12.8217	-12.8221	-12.8144
Gene_49	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277	-15.5277
Gene_50	-9.56218	-8.76118	-8.97864	-8.81165	-8.88754	-8.85557	-9.12302	-9.07026	-8.78352	-9.02905	-8.90338	-9.2724	-9.04356	-8.90883	-9.53724	-9.11814	-9.39196	-8.85743	-9.15136	-8.97625
Gene_51	-8.72621	-8.38128	-8.41467	-8.39023	-8.33297	-8.01105	-8.65315	-8.33386	-8.56221	-8.42534	-8.59401	-7.92847	-8.61562	-8.42473	-8.77888	-8.33189	-8.30451	-8.66765	-8.39964	-8.73833
Gene_52	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506	-14.9506
Gene_53	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204	-16.4204
Gene_54	-10.8139	-10.85	-11.0029	-11.0963	-10.8123	-11.003	-11.0453	-11.0681	-10.5487	-10.8163	-10.8542	-10.9652	-10.5377	-10.7858	-10.3919	-10.7864	-10.7785	-10.7618	-10.642	-11.1137
Gene_55	-12.7151	-12.4816	-12.5549	-12.5867	-12.4156	-12.9922	-12.8427	-12.5328	-12.6236	-12.6126	-12.8527	-12.6056	-12.3624	-12.7734	-12.3689	-12.7509	-12.7132	-12.6105	-12.583	-12.9264
Gene_56	-11.7652	-11.7327	-11.5003	-11.9323	-11.5116	-11.5904	-12.0992	-11.5324	-11.4558	-11.6854	-11.6045	-11.2878	-11.8982	-11.4525	-12.0942	-11.6423	-11.8025	-11.3681	-11.7437	-11.4877
Gene_57	-15.3453	-15.6506	-15.2068	-15.4684	-15.5225	-15.3172	-15.257	-15.1073	-15.4955	-15.2064	-15.0941	-15.5807	-15.1452	-15.2553	-15.4125	-15.4434	-15.4209	-15.4492	-15.0584	-15.4664
Gene_58	-9.40564	-9.10323	-9.03064	-9.53054	-8.98633	-9.34014	-9.41767	-9.44019	-9.13541	-9.19504	-9.66668	-9.19252	-9.46254	-9.13177	-9.47777	-9.41234	-9.15894	-8.74541	-8.86129	-8.67288
Gene_59	-15.7362	-16.0172	-16.337	-16.228	-15.9255	-16.1599	-16.1124	-15.9084	-16.0948	-16.1702	-15.8164	-15.7911	-16.2468	-16.2043	-15.6644	-16.3428	-16.1889	-16.1325	-16.0873	-15.73
Gene_60	-7.65103	-8.48407	-8.50301	-8.49124	-7.80289	-7.82007	-8.22298	-8.06492	-8.15125	-8.09614	-8.32556	-7.71958	-8.22506	-8.06336	-8.26925	-7.88358	-8.14133	-8.32603	-7.87903	-8.08892
Gene_61	-13.3883	-12.7108	-12.822	-13.5806	-13.3821	-13.2088	-13.2428	-13.8657	-12.9469	-12.9599	-13.1899	-12.9519	-12.9571	-12.8662	-13.4011	-13.582	-13.0633	-13.4082	-13.5126	-12.9536
Gene_62	-12.8373	-12.6255	-12.2633	-12.5373	-12.5394	-12.6242	-12.986	-12.764	-12.1639	-12.5775	-12.7922	-12.6358	-12.1852	-12.1253	-12.5339	-12.6805	-12.3392	-12.7203	-12.5017	-12.8786
Gene_63	-12.7415	-13.2892	-12.9578	-13.0774	-13.0028	-13.3082	-12.9745	-12.9519	-12.6778	-13.055	-12.9249	-12.7619	-12.7835	-12.9313	-12.9582	-12.9309	-12.7211	-12.9758	-12.8091	-12.9
Gene_65	-17.7827	-17.7819	-17.7827	-17.7825	-17.782	-17.7826	-17.7826	-17.7818	-17.7826	-17.7825	-17.7827	-17.7826	-17.7826	-17.7825	-17.7826	-17.7827	-17.7825	-17.7826	-17.7826	-17.7812
Gene_66	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262	-16.6262
Gene_67	-14.1064	-14.1063	-14.1063	-14.1063	-14.1063	-14.1064	-14.1063	-14.1063	-14.1063	-14.1063	-14.1063	-14.1063	-14.1063	-14.1064	-14.1063	-14.1063	-14.1063	-14.1063	-14.1063	-14.1063
Gene_68	-12.4072	-12.7369	-11.8588	-12.6843	-12.5799	-12.5043	-12.5534	-12.5192	-12.3461	-11.9579	-12.8547	-12.6611	-12.5913	-12.5728	-12.4899	-12.5098	-12.6849	-12.5043	-12.8172	-12.4486
Gene_69	-13.9777	-13.7957	-13.9347	-13.6348	-14.0494	-14.2397	-14.1458	-13.9507	-13.9793	-14.0574	-14.1496	-14.0098	-13.6921	-13.5981	-13.8686	-13.9488	-13.6745	-14.2293	-13.7983	-13.7993
Gene_70	-13.518	-13.441	-13.5585	-13.4515	-13.6401	-13.6833	-13.4229	-13.809	-13.2788	-13.6465	-13.6703	-13.6139	-13.4755	-13.4128	-13.3168	-13.5063	-13.493	-13.7346	-13.3605	-13.1745
Gene_71	-10.4893	-10.8365	-10.6636	-10.3739	-11.1682	-11.2234	-10.6944	-10.5139	-10.5313	-10.5707	-10.5873	-10.5023	-11.1119	-10.7617	-10.8612	-10.6415	-10.6738	-10.8124	-10.612	-10.8912
